companyName,filingDate,tableMineralArray,auditors,filingUrl,cik,accessionNo
APPLIED MATERIALS INC /DE (AMAT) (CIK 0000006951),2024-05-23,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'RBA']",https://www.sec.gov/Archives/edgar/data/6951/000119312524146038/d840000dex101.htm,6951,0001193125-24-146038
MIDDLEBY Corp (MIDD) (CIK 0000769520),2024-05-28,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/769520/000076952024000025/exhibit1012024.htm,769520,0000769520-24-000025
APPLIED MATERIALS INC /DE (AMAT) (CIK 0000006951),2024-05-23,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/6951/000119312524146038/d840000dsd.htm,6951,0001193125-24-146038
UNITED MICROELECTRONICS CORP (UMC) (CIK 0001033767),2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1033767/000119312524150743/d814020dex101.htm,1033767,0001193125-24-150743
"APPLIED OPTOELECTRONICS, INC. (AAOI) (CIK 0001158114)",2024-05-23,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'RBA']",https://www.sec.gov/Archives/edgar/data/1158114/000168316824003794/aaoi_ex0101.htm,1158114,0001683168-24-003794
FRANKLIN WIRELESS CORP (FKWL) (CIK 0000722572),2024-03-26,"['Tin', 'Gold']",['RMI'],https://www.sec.gov/Archives/edgar/data/722572/000168316824001718/franklin_ex0101.htm,722572,0001683168-24-001718
Fabrinet (FN) (CIK 0001408710),2024-05-29,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1408710/000140871024000021/fn-20240524exx101.htm,1408710,0001408710-24-000021
Atmus Filtration Technologies Inc. (ATMU) (CIK 0001921963),2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1921963/000192196324000088/atmu-conflictmineralsrepora.htm,1921963,0001921963-24-000088
3M CO (MMM) (CIK 0000066740),2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/66740/000006674024000061/a3mconflictmineralsreport2.htm,66740,0000066740-24-000061
LIGHTPATH TECHNOLOGIES INC (LPTH) (CIK 0000889971),2024-05-30,['Gold'],['RMI'],https://www.sec.gov/Archives/edgar/data/889971/000165495424007079/lpth_ex101.htm,889971,0001654954-24-007079
